svl	head_depth	d_tymp_rost	head_width	antebrachium	shank	toe	depth_pect	treename	genus	species
57.6666666667	4.0483333333	8.7333333333	5.6966666667	2.4183333333	5.0583333333	3.515	4.31	hemiergis_peronii	hemiergis	peronii
58.3333333333	3.5	7.0366666667	4.65	2.54	3.525	2.1383333333	4.2716666667	hemiergis_quadrilineata	hemiergis	quadrilineata
49	2.7133333333	5.93	3.725	1.54	4.215	4.0333333333	3.3116666667	lerista_aericeps	lerista	aericeps
35.375	2.5125	4.8675	3.3475	1.1925	2.75	2.79	2.7475	lerista_allochira	lerista	allochira
67.5	2.7075	6.1	3.345	0	0	0	3.2325	lerista_ameles	lerista	ameles
75.75	2.3875	4.6025	2.5325	0	0	0	2.5925	lerista_apoda	lerista	apoda
55.6666666667	3.6566666667	8.155	5.035	3.2766666667	5.5066666667	6.1066666667	4.2166666667	lerista_arenicola	lerista	arenicola
66.75	4.085	7.855	4.8425	0.645	3.7475	2.8775	4.585	lerista_axillaris	lerista	axillaris
75.75	4.325	7.98475	5.2625	0	4.5275	1.9225	4.635	lerista_baynesi	lerista	baynesi
56.625	2.79	5.265	3.5125	0	3.9025	2.8525	2.9325	lerista_bipes	lerista	bipes
54.9166666667	3.8766666667	7.0433333333	4.9133333333	1.5866666667	3.4433333333	2.9783333333	3.995	lerista_borealis	lerista	borealis
66.3333333333	4.15	8.13	5.495	2.3383333333	5.1583333333	4.715	4.6316666667	lerista_bougainvillii	lerista	bougainvillii
37.875	2.505	5.495	3.2225	1.7975	3.41	4.025	2.83	lerista_christinae	lerista	christinae
60	2.4	5.585	3.06	0	1.49	0.6	2.92	lerista_cinerea	lerista	cinerea
74.3333333333	4.48	8.2833333333	4.9166666667	0	4.6816666667	3.59	5.1316666667	lerista_connivens	lerista	connivens
81.8	4.654	9.097	5.823	1.101	5.981	4.052	5.606	lerista_desertorum	lerista	desertorum
40	2.7425	5.525	3.215	1.37	3.71	4.12	3.0775	lerista_distinguenda	lerista	distinguenda
48.5	2.9216666667	6.2816666667	3.8433333333	1.6733333333	4.0066666667	4.8683333333	3.2066666667	lerista_dorsalis	lerista	dorsalis
78	4.28	8.6383333333	5.3283333333	0	5.415	4.135	4.775	lerista_edwardsae	lerista	edwardsae
39	2.6075	5.185	3.195	1.47	3.355	3.6175	3.1025	lerista_elegans	lerista	elegans
61.3333333333	3.7616666667	8.025	4.9633333333	2.1016666667	4.985	4.54	4.2116666667	lerista_elongata	lerista	elongata
85	4.225	8.47	5.22	1.23	4.71	2.3	5.13	lerista_emmotti	lerista	emmotti
71.125	4.005	8.44	5.1175	1.2075	4.73	4.39	4.62	lerista_eupoda	lerista	eupoda
48.625	3.1275	6.8725	4.225	2.16	4.13	4.1725	3.6825	lerista_flammicauda	lerista	flammicauda
48.5	2.4525	5.555	3.375	1.185	3.4975	2.685	2.9575	lerista_fragilis	lerista	fragilis
50.1666666667	3.0066666667	6.63	4.1083333333	1.4383333333	3.82	3.45	3.6266666667	lerista_frosti	lerista	frosti
63.5	3.5775	6.6675	4.33	0	4.4025	3.9225	4.19	lerista_gascoynensis	lerista	gascoynensis
83	4.185	8.5575	5.5075	0.7275	4.6175	3.8125	4.845	lerista_gerrardii	lerista	gerrardii
59	2.76	5.48	3.37	0	3.655	2.6475	3.3925	lerista_greeri	lerista	greeri
61	2.6775	5.5725	3.3175	0	2.955	2.5375	3.14	lerista_griffini	lerista	griffini
56.5	2.42	5.0325	2.6375	0	0.65	0.375	2.6025	lerista_humphriesi	lerista	humphriesi
66	3.3683333333	6.86	4.4966666667	0	4.2533333333	3.3483333333	4.195	lerista_ips	lerista	ips
59	3.0375	6.295	3.7925	0	3.1525	2.5875	3.48	lerista_kalumburu	lerista	kalumburu
53	3.0975	5.7175	3.8125	0	3.7525	3.64	3.64	lerista_kennedyensis	lerista	kennedyensis
53.5	2.6475	5.22	3.2425	0	3.2725	2.95	3.1375	lerista_labialis	lerista	labialis
48.5	2.865	6.195	3.37	0.875	3.6725	3.9875	3.1575	lerista_lineata	lerista	lineata
99	4.985	9.5275	5.7825	0	2.9775	1.585	5.5725	lerista_lineopunctulata	lerista	lineopunctulata
93	5.1725	9.68	6.5775	0.8375	5.645	4.3925	5.86	lerista_macropisthopus	lerista	macropisthopus
40.5	2.825	6.5775	3.8725	2.1275	4.2875	4.81	3.4325	lerista_microtis	lerista	microtis
41	2.27	4.61	3.0725	1.29	2.705	3.3225	2.48	lerista_muelleri	lerista	muelleri
92	4.685	9.4075	5.835	1.225	5.2275	2.5425	5.2575	lerista_neander	lerista	neander
58.5	3.515	6.6325	4.08	0	4.2575	3.37	3.87	lerista_nichollsi	lerista	nichollsi
62	3.8075	6.51	4.32	0	4.2925	3.3475	4.39	lerista_onsloviana	lerista	onsloviana
